账期,地区,城市_乡村,是否上网捆绑,用户类型,接入码,帐目类型,用户数,"话单
张数",通话时长,费用
0803,渝北电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,421,1273,301819,81.1
0803,渝北电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,512,4377,424187,29.11
0803,渝北电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,16,32,4188,0.2
0803,渝北电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,6,7,163,0
0803,渝北电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,982,17985,9426908,56.69
0803,渝北电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1110,20760,14856212,63.85
0803,渝北电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,8,15,627,0
0803,渝北电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,208,774,55837,12.01
0803,渝北电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,184,333,19663,2.84
0803,渝北电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,18,115,9484,0.98
0803,渝北电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,326,1347,91395,5.39
0803,渝北电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,11,24,2908,0
0803,渝北电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,5,5,121,0
0803,渝北电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,9,60,5395,63.21
0803,璧山电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,19,25,1204,3.72
0803,璧山电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,2,69,0.39
0803,璧山电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,334,0
0803,璧山电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,2,6,733,1.67
0803,璧山电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,4,9,227,1.37
0803,璧山电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,4,1659,2.74
0803,璧山电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,2,3,57,0.59
0803,璧山电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,5,10,507,4.12
0803,璧山电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,0,0,0.49
0803,璧山电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,124,270,17790,15.97
0803,璧山电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,3,5,668,0.2
0803,璧山电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,11,28,7951,0.59
0803,璧山电信公司,乡村,未捆绑,预付费小灵通,168,168台增值市话费,6,10,707,1.18
0803,璧山电信公司,乡村,未捆绑,预付费小灵通,118318,118318电话QQ增值市话费,21,248,142279,12.05
0803,璧山电信公司,乡村,未捆绑,预付费小灵通,966118,966118电话QQ增值市话费,8,84,19734,6.66
0803,璧山电信公司,乡村,未捆绑,预付费小灵通,950901,950901灵通秘书增值市话费,24,37,1875,3.14
0803,璧山电信公司,乡村,未捆绑,预付费小灵通,968139,968139增值市话费,5,36,2505,5.59
0803,璧山电信公司,乡村,未捆绑,预付费小灵通,118114,118114增值市话费,11,14,747,0.59
0803,璧山电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,27,127,4771,22.83
0803,江津电信公司,城市,未捆绑,预付费小灵通,114,114增值市话费,26,43,2667,8.04
0803,江津电信公司,城市,未捆绑,预付费小灵通,168,168台增值市话费,2,2,138,0.39
0803,江津电信公司,城市,未捆绑,预付费小灵通,118318,118318电话QQ增值市话费,2,2,125,0.39
0803,江津电信公司,城市,未捆绑,预付费小灵通,966118,966118电话QQ增值市话费,2,2,6,0.39
0803,江津电信公司,城市,未捆绑,预付费小灵通,950901,950901灵通秘书增值市话费,3,3,81,0.78
0803,江津电信公司,城市,未捆绑,预付费小灵通,968139,968139增值市话费,1,1,12,0.2
0803,江津电信公司,城市,未捆绑,预付费小灵通,118321,118321增值市话费（多方通话）,1,4,169,2.45
0803,江津,城市,未捆绑,预付费小灵通,12121,12121增值区间费,4,7,195,1.76
0803,江津电信公司,乡村,未捆绑,预付费小灵通,114,114增值市话费,20,46,2691,1.76
0803,江津电信公司,乡村,未捆绑,预付费小灵通,118100,118100增值市话费,3,26,6238,3.92
0803,江津电信公司,乡村,未捆绑,预付费小灵通,168,168台增值市话费,1,1,8,0.2
0803,江津电信公司,乡村,未捆绑,预付费小灵通,118318,118318电话QQ增值市话费,1,6,4779,0
0803,江津电信公司,乡村,未捆绑,预付费小灵通,966118,966118电话QQ增值市话费,1,41,29238,0
0803,江津电信公司,乡村,未捆绑,预付费小灵通,96509,国利增值市话费,1,2,72,0
0803,江津电信公司,乡村,未捆绑,预付费小灵通,950901,950901灵通秘书增值市话费,2,4,98,0.78
0803,江津电信公司,乡村,未捆绑,预付费小灵通,118114,118114增值市话费,1,1,41,0
0803,江津电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,2,8,186,1.57
0803,合川电信公司,城市,未捆绑,预付费小灵通,114,114增值市话费,33,57,4079,12.1
0803,合川电信公司,城市,未捆绑,预付费小灵通,168,168台增值市话费,1,1,33,0.2
0803,合川电信公司,城市,未捆绑,预付费小灵通,950901,950901灵通秘书增值市话费,22,38,1468,8.33
0803,合川电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,4,4,105,1.08
0803,合川电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,11,26,938,8.23
0803,合川电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,143,293,19362,12.05
0803,合川电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,13,501,0
0803,合川电信公司,乡村,未捆绑,预付费小灵通,96121,96121台增值市话费,3,4,246,0.59
0803,合川电信公司,乡村,未捆绑,预付费小灵通,118100,118100增值市话费,9,35,8387,0.64
0803,合川电信公司,乡村,未捆绑,预付费小灵通,168,168台增值市话费,6,12,860,0
0803,合川电信公司,乡村,未捆绑,预付费小灵通,118311,118311增值市话费,2,5,330,0.29
0803,合川电信公司,乡村,未捆绑,预付费小灵通,966111,966111增值市话费,2,2,80,0.2
0803,合川电信公司,乡村,未捆绑,预付费小灵通,118318,118318电话QQ增值市话费,12,340,92495,2.35
0803,合川电信公司,乡村,未捆绑,预付费小灵通,966118,966118电话QQ增值市话费,6,74,24391,1.27
0803,合川电信公司,乡村,未捆绑,预付费小灵通,950901,950901灵通秘书增值市话费,21,35,1114,4.61
0803,合川电信公司,乡村,未捆绑,预付费小灵通,968139,968139增值市话费,3,67,23595,2.35
0803,合川电信公司,乡村,未捆绑,预付费小灵通,118114,118114增值市话费,13,20,1713,0.31
0803,合川电信公司,乡村,未捆绑,预付费小灵通,118313,118313语音信箱,1,3,125,0
0803,合川电信公司,乡村,未捆绑,预付费小灵通,118321,118321增值市话费（多方通话）,1,2,25,0.98
0803,合川,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,23,121,4756,14.41
0803,北碚电信公司,城市,未捆绑,预付费小灵通,,其他声讯费,1,0,0,0.98
0803,北碚电信公司,城市,未捆绑,预付费小灵通,114,114增值市话费,526,1647,107548,16.86
0803,北碚电信公司,城市,未捆绑,预付费小灵通,12117,12117增值市话费,3,43,2082,0
0803,北碚电信公司,城市,未捆绑,预付费小灵通,96121,96121台增值市话费,7,17,402,0.2
0803,北碚电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,17,93,33157,1.18
0803,北碚电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,52,105,18749,9.9
0803,北碚,城市,未捆绑,预付费小灵通,12121,12121增值区间费,93,838,64122,13.82
0803,北碚电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,8,550,0
0803,北碚电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,278,0
0803,北碚电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,122,2830,1492025,4.41
0803,北碚电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,117,3151,2423351,4.02
0803,北碚电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,28,126,9582,0.98
0803,北碚电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,79,137,6996,12.01
0803,北碚电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,32,83,5117,0.88
0803,北碚电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,3,632,0
0803,北碚电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,2,19,0.98
0803,北碚电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,5,0,0,3.43
0803,北碚电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,2452,8296,551469,33.12
0803,北碚电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,6,108,8126,0
0803,北碚电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,25,75,3343,0.59
0803,北碚电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,1,3,34,0
0803,北碚电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,130,650,207753,12.99
0803,北碚电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,162,398,43368,29.99
0803,北碚电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,238,2264,208897,13.24
0803,北碚电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,6,13,1746,2.06
0803,北碚电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,3,6,157,0
0803,北碚电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,459,7674,4933841,19.21
0803,北碚电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,512,10264,7157874,38.12
0803,北碚电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,6,9,128,0
0803,北碚电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,106,368,32505,4.12
0803,北碚电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,139,322,26279,4.61
0803,北碚电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,12,48,2494,0.59
0803,北碚电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,167,911,58466,1.96
0803,北碚电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,3,4,628,0
0803,北碚电信公司,乡村,未捆绑,预付费小灵通,12121,12121增值区间费,2,4,371,3.92
0803,巴南电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,932,2953,207710,48.15
0803,巴南电信公司,城市,未捆绑,预付费小灵通,12121,12121增值区间费,7,116,3289,3.92
